"","x"
"1140",25
"1141",25
"1142",24
"1143",25
"1144",24
"1145",2
"1146",4
"1147",4
"1148",25
"1149",25
"1150",2
"1151",24
"1152",20
"1153",25
"1154",24
"1155",25
"1156",20
"1157",25
"1158",1
"1159",25
"1160",19
"1161",25
"1162",4
"1163",22
"1164",8
"1165",25
"1166",20
"1167",25
"1168",14
"1169",24
"1170",2
"1171",22
"1172",25
"1173",25
"1174",25
"1175",15
"1176",25
"1177",25
"1178",2
"1179",2
"1180",19
"1181",25
"1182",17
"1183",25
"1184",2
"1185",25
"1186",24
"1187",25
"1188",7
"1189",25
"1190",24
"1191",3
"1192",16
"1193",10
"1194",3
"1195",2
"1196",10
"1197",25
"1198",2
"1199",24
"1200",3
"1201",10
"1202",25
"1203",1
"1204",25
"1205",17
"1206",24
"1207",25
"1208",24
"1209",23
"1210",25
"1211",16
"1212",10
"1213",25
"1214",25
"1215",25
"1216",3
"1217",25
"1218",20
"1219",2
"1220",25
"1221",24
"1222",20
"1223",25
"1224",1
"1225",20
"1226",25
"1227",1
"1228",3
"1229",25
"1230",19
"1231",25
"1232",20
"1233",3
"1234",3
"1235",25
"1236",20
"1237",21
"1238",24
"1239",25
"1240",25
"1241",3
"1242",2
"1243",14
"1244",2
"1245",19
"1246",2
"1247",25
"1248",25
"1249",22
"1250",1
"1251",2
"1252",17
"1253",5
"1254",15
"1255",3
"1256",25
"1257",25
"1258",25
"1259",25
"1260",20
"1261",25
"1262",25
"1263",25
"1264",25
"1265",2
"1266",1
"1267",1
"1268",18
"1269",14
"1270",3
"1271",3
"1272",3
"1273",2
"1274",25
"1275",25
"1276",25
"1277",2
"1278",1
"1279",17
"1280",25
"1281",25
"1282",25
"1283",25
"1284",3
"1285",1
"1286",20
"1287",2
"1288",3
"1289",3
"1290",3
"1291",22
"1292",3
"1293",24
"1294",16
"1295",2
"1296",3
"1297",25
"1298",3
"1299",3
"1300",2
"1301",24
"1302",25
"1303",2
"1304",7
"1305",3
"1306",25
"1307",1
"1308",24
"1309",14
"1310",3
"1311",3
"1312",3
"1313",13
"1314",2
"1315",4
"1316",1
"1317",25
"1318",3
"1319",24
"1320",25
"1321",2
"1322",25
"1323",25
"1324",25
"1325",25
"1326",16
"1327",18
"1328",24
"1329",1
"1330",25
"1331",23
"1332",25
"1333",25
"1334",25
"1335",1
"1336",25
"1337",25
"1338",19
"1339",25
"1340",2
"1341",2
"1342",20
"1343",25
"1344",2
"1345",17
"1346",19
"1347",2
"1348",2
"1349",3
"1350",25
"1351",16
"1352",3
"1353",19
"1354",2
"1355",23
"1356",17
"1357",24
"1358",25
"1359",4
"1360",25
"1361",15
"1362",18
"1363",25
"1364",2
"1365",25
"1366",25
"1367",2
"1368",25
"1369",2
"1370",3
"1371",21
"1372",3
"1373",24
"1374",13
"1375",23
"1376",2
"1377",21
"1378",18
"1379",24
"1380",24
"1381",2
"1382",2
"1383",2
"1384",25
"1385",25
"1386",2
"1387",1
"1388",18
"1389",24
"1390",2
"1391",2
"1392",15
"1393",25
"1394",25
"1395",1
"1396",3
"1397",24
"1398",21
"1399",19
"1400",25
"1401",21
"1402",21
"1403",3
"1404",2
"1405",25
"1406",25
"1407",10
"1408",2
"1409",1
"1410",25
"1411",18
"1412",2
"1413",24
"1414",2
"1415",25
"1416",7
"1417",2
"1418",24
"1419",24
"1420",20
"1421",24
"1422",25
"1423",25
"1424",18
"1425",5
"1426",6
"1427",25
"1428",25
"1429",25
"1430",3
"1431",1
"1432",25
"1433",3
"1434",25
"1435",15
"1436",22
"1437",1
"1438",24
"1439",19
"1440",3
"1441",20
"1442",3
"1443",25
"1444",24
"1445",22
"1446",25
"1447",25
"1448",3
"1449",9
"1450",25
"1451",19
"1452",3
"1453",2
"1454",25
"1455",25
"1456",25
"1457",24
"1458",17
"1459",5
"1460",25
"1461",25
"1462",25
"1463",16
"1464",25
"1465",24
"1466",21
"1467",25
"1468",20
"1469",25
"1470",3
"1471",20
"1472",2
"1473",19
"1474",16
"1475",14
"1476",25
"1477",21
"1478",25
"1479",2
"1480",25
"1481",25
"1482",20
"1483",20
"1484",25
"1485",20
"1486",6
"1487",2
"1488",9
"1489",15
"1490",25
"1491",4
"1492",24
"1493",21
"1494",1
"1495",24
"1496",16
"1497",19
"1498",7
"1499",4
"1500",19
"1501",1
"1502",25
"1503",3
"1504",25
"1505",25
"1506",15
"1507",3
"1508",5
"1509",25
"1510",25
"1511",3
"1512",1
"1513",1
"1514",19
"1515",2
"1516",24
"1517",20
"1518",25
"1519",20
"1520",25
"1521",25
"1522",25
"1523",25
"1524",3
"1525",21
"1526",25
"1527",4
"1528",21
"1529",25
"1530",20
"1531",5
"1532",22
"1533",25
"1534",25
"1535",2
"1536",24
"1537",2
"1538",25
"1539",24
"1540",25
"1541",25
"1542",24
"1543",25
"1544",4
"1545",2
"1546",25
"1547",19
"1548",22
"1549",17
"1550",23
"1551",25
"1552",3
"1553",17
"1554",2
"1555",2
"1556",24
"1557",24
"1558",25
"1559",2
"1560",3
"1561",19
"1562",22
"1563",16
"1564",16
"1565",2
"1566",15
"1567",25
"1568",17
"1569",25
"1570",2
"1571",25
"1572",25
"1573",25
"1574",25
"1575",25
"1576",7
"1577",2
"1578",22
"1579",17
"1580",25
"1581",2
"1582",3
"1583",20
"1584",3
"1585",25
"1586",22
"1587",24
"1588",24
"1589",24
"1590",5
"1591",20
"1592",1
"1593",2
"1594",3
"1595",3
"1596",25
"1597",2
"1598",25
