"","assig.vecU","assig.vecC","assig.vecAr","assig.vecAm","assig.vecT"
"401",17,1,17,19,3
"402",21,21,6,21,22
"403",3,3,3,14,19
"404",9,9,9,22,9
"405",7,13,14,7,14
"406",21,16,16,6,5
"407",10,10,16,20,4
"408",7,13,14,15,3
"409",9,6,20,17,21
"410",7,6,6,16,16
"411",5,24,13,8,14
"412",18,5,5,2,11
"413",18,6,6,5,22
"414",15,13,8,8,11
"415",2,4,3,3,5
"416",2,2,2,16,11
"417",2,1,1,23,18
"418",2,10,16,20,20
"419",2,13,15,23,5
"420",7,6,6,5,18
"421",25,4,3,14,3
"422",18,8,1,12,4
"423",15,15,12,8,14
"424",18,3,6,3,14
"425",18,8,5,10,3
"426",2,2,3,24,16
"427",7,16,16,13,21
"428",2,4,4,5,1
"429",3,3,3,14,12
"430",2,4,4,10,17
"431",2,16,16,8,4
"432",2,2,16,16,3
"433",2,9,16,1,9
"434",11,4,9,14,3
"435",2,22,20,10,17
"436",2,3,3,17,20
"437",2,14,14,7,17
"438",18,5,5,20,12
"439",2,2,10,19,14
"440",2,17,1,3,10
"441",2,16,16,14,22
"442",21,21,21,4,10
"443",7,13,13,1,5
"444",7,5,5,17,23
"445",7,5,5,20,17
"446",18,19,8,10,4
"447",2,3,4,14,19
"448",2,15,19,15,22
"449",20,11,14,1,1
"450",2,20,15,18,2
"451",2,13,13,22,16
"452",15,18,11,4,3
"453",2,20,23,19,11
"454",9,15,15,11,3
"455",15,18,9,5,24
"456",9,4,9,10,16
"457",2,10,10,3,20
"458",9,9,9,3,7
"459",3,3,3,6,21
"460",9,19,17,20,7
"461",3,23,3,3,8
"462",2,6,6,4,6
"463",9,9,11,18,23
"464",12,1,9,11,11
"465",2,9,9,19,17
"466",2,1,8,1,23
"467",3,3,3,3,25
"468",10,10,21,21,6
"469",7,21,21,20,4
"470",18,4,4,20,24
"471",2,6,6,13,19
"472",18,17,17,25,14
"473",9,9,21,20,25
"474",9,22,21,16,10
"475",2,10,10,5,7
"476",24,24,24,9,10
"477",4,4,3,3,21
"478",8,8,1,14,13
"479",21,16,16,1,8
"480",18,18,18,17,3
"481",18,9,9,8,21
